museum_id,day,open,close,open_time,close_time,duration,rank
84,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
84,Monday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
84,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
84,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
84,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
84,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
84,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Sunday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Monday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Tuesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Wednesday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Thursday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Friday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
86,Saturday,10:00:AM,06:00:PM,10:00:00,18:00:00,08:00:00,79
65,Sunday,09:30:AM,05:15:PM,09:30:00,17:15:00,07:45:00,162
65,Tuesday,09:30:AM,05:15:PM,09:30:00,17:15:00,07:45:00,162
65,Wednesday,09:30:AM,05:15:PM,09:30:00,17:15:00,07:45:00,162
65,Thursday,09:30:AM,05:15:PM,09:30:00,17:15:00,07:45:00,162
65,Friday,09:30:AM,05:15:PM,09:30:00,17:15:00,07:45:00,162
65,Saturday,09:30:AM,05:15:PM,09:30:00,17:15:00,07:45:00,162
35,Sunday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
35,Monday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
55,Sunday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
55,Tuesday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
55,Wednesday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
55,Thursday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
55,Friday,10:00:AM,05:30:PM,10:00:00,17:30:00,07:30:00,168
66,Sunday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
66,Monday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
66,Tuesday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
66,Wednesday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
66,Thursday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
66,Friday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
66,Saturday,11:30:AM,07:00:PM,11:30:00,19:00:00,07:30:00,168
30,Sunday,10:30:AM,05:30:PM,10:30:00,17:30:00,07:00:00,182
30,Monday,10:30:AM,05:30:PM,10:30:00,17:30:00,07:00:00,182
30,Tuesday,10:30:AM,05:30:PM,10:30:00,17:30:00,07:00:00,182
30,Wednesday,10:30:AM,05:30:PM,10:30:00,17:30:00,07:00:00,182
30,Thusday,10:30:AM,05:30:PM,10:30:00,17:30:00,07:00:00,182
30,Friday,10:30:AM,05:30:PM,10:30:00,17:30:00,07:00:00,182
31,Sunday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
31,Monday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
31,Tuesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
31,Wednesday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
31,Thusday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
31,Friday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
31,Saturday,11:00:AM,06:00:PM,11:00:00,18:00:00,07:00:00,182
32,Sunday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
32,Monday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
32,Tuesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
32,Wednesday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
32,Thusday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
32,Friday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
32,Saturday,10:00:AM,05:00:PM,10:00:00,17:00:00,07:00:00,182
